number,value,datetime_start,datetime_complete,duration,params_min_order_notional_usdt,params_min_rebalance_interval_minutes,params_rebalance_threshold,params_spot_pct,state
128,-1.5981563583746097,2025-06-11 19:27:24.608540,2025-06-11 19:27:25.741558,0 days 00:00:01.133018,39.409238249058596,159,0.02687867012916632,0.55,COMPLETE
138,-1.601114354884185,2025-06-11 19:27:35.765984,2025-06-11 19:27:36.871706,0 days 00:00:01.105722,40.93328890586222,178,0.03544345264330442,0.65,COMPLETE
65,-1.6012900661846408,2025-06-11 19:26:21.436034,2025-06-11 19:26:22.377694,0 days 00:00:00.941660,21.67089117863314,93,0.04149150786223557,0.45,COMPLETE
97,-1.6245903914411748,2025-06-11 19:26:53.252561,2025-06-11 19:26:54.295651,0 days 00:00:01.043090,30.113021120481186,177,0.0346921211404351,0.7,COMPLETE
47,-1.632552115642424,2025-06-11 19:26:01.946325,2025-06-11 19:26:03.014067,0 days 00:00:01.067742,25.378395269508054,104,0.033674084645781664,0.15,COMPLETE
155,-1.6383831979109864,2025-06-11 19:27:52.830044,2025-06-11 19:27:53.828063,0 days 00:00:00.998019,42.45033783362358,178,0.03815669728103343,0.65,COMPLETE
86,-1.6534694157094492,2025-06-11 19:26:42.474166,2025-06-11 19:26:43.416137,0 days 00:00:00.941971,25.979800490983838,85,0.04675930108064672,0.15,COMPLETE
64,-1.6846452240943541,2025-06-11 19:26:20.537070,2025-06-11 19:26:21.436034,0 days 00:00:00.898964,50.09202918856634,69,0.04986560427691368,0.35,COMPLETE
76,-1.718829514507332,2025-06-11 19:26:32.643927,2025-06-11 19:26:33.754533,0 days 00:00:01.110606,24.805201803140058,71,0.03886534096536154,0.45,COMPLETE
125,-1.7566495505862043,2025-06-11 19:27:21.716708,2025-06-11 19:27:22.610749,0 days 00:00:00.894041,30.79532292489976,151,0.03553087371037294,0.65,COMPLETE
21,-1.7620356626310218,2025-06-11 19:25:36.858019,2025-06-11 19:25:37.690553,0 days 00:00:00.832534,26.160944482341673,94,0.04069296818374159,0.45,COMPLETE
40,-1.7881829493570818,2025-06-11 19:25:54.268031,2025-06-11 19:25:55.547088,0 days 00:00:01.279057,26.67094286530209,147,0.04429813378881394,0.65,COMPLETE
78,-1.7898836840545296,2025-06-11 19:26:34.722872,2025-06-11 19:26:35.711574,0 days 00:00:00.988702,34.70079956229051,78,0.04605838413191431,0.4,COMPLETE
199,-1.7910515946418144,2025-06-11 19:28:40.315527,2025-06-11 19:28:41.414641,0 days 00:00:01.099114,54.41133599665837,177,0.005041769254688052,0.65,COMPLETE
55,-1.8282094048207171,2025-06-11 19:26:10.434292,2025-06-11 19:26:11.469279,0 days 00:00:01.034987,30.200927054014727,117,0.04514527011115181,0.15,COMPLETE
25,-1.8509493884143877,2025-06-11 19:25:40.286961,2025-06-11 19:25:41.124552,0 days 00:00:00.837591,20.802773642337108,52,0.049772539569612674,0.5,COMPLETE
150,-1.853299787815271,2025-06-11 19:27:47.919327,2025-06-11 19:27:48.865750,0 days 00:00:00.946423,38.27241247661607,177,0.03402204665259702,0.3,COMPLETE
7,-1.8656501836225703,2025-06-11 19:25:24.075382,2025-06-11 19:25:25.050205,0 days 00:00:00.974823,36.09446556573061,156,0.012313778874840097,0.3,COMPLETE
